time_stamp,d_id,line_graph
2021-04-03 17:32:36,14855495,1024
2021-04-03 17:36:11,14855495,1024
2021-04-03 17:37:42,14855495,1024
2021-04-03 17:41:39,14855495,1024
2021-04-03 17:46:39,14855495,12
2021-04-03 17:51:39,14855495,1024
2021-04-03 17:53:15,14855495,1024
2021-04-03 17:55:34,14855495,9
2021-04-03 17:57:13,14855495,1024
2021-04-03 17:58:32,14855495,9
2021-04-03 18:00:40,14855495,1024
2021-04-03 18:01:15,14855495,1024
2021-04-03 18:01:42,14855495,1024
2021-04-03 18:01:45,14855495,745
2021-04-03 18:02:02,14855495,388
2021-04-03 18:02:27,14855495,1024
2021-04-03 18:02:50,14855495,189
2021-04-03 18:03:57,14855495,201
2021-04-03 18:08:24,14855495,89
2021-04-03 18:09:45,14855495,507
2021-04-03 18:12:15,14855495,1024
2021-04-03 18:13:55,14855495,65
2021-04-03 18:15:07,14855495,1024
2021-04-03 18:15:36,14855495,84
2021-04-03 18:16:10,14855495,367
2021-04-03 18:17:05,14855495,225
2021-04-03 18:17:25,14855495,1024
2021-04-03 18:17:39,14855495,205
2021-04-03 18:19:11,14855495,115
2021-04-03 18:19:34,14855495,1024
2021-04-03 18:20:01,14855495,70
2021-04-03 18:21:06,14855495,121
2021-04-03 18:21:06,14855495,118
2021-04-03 18:21:12,14855495,109
2021-04-03 18:21:13,14855495,112
2021-04-03 18:21:15,14855495,109
2021-04-03 18:21:16,14855495,110
2021-04-03 18:21:33,14855495,535
2021-04-03 18:26:33,14855495,569
2021-04-03 18:27:04,14855495,602
2021-04-03 18:27:13,14855495,1024
2021-04-03 18:27:30,14855495,93
2021-04-03 18:29:04,14855495,218
2021-04-03 18:34:00,14855495,1024
2021-04-03 18:34:17,14855495,1024
2021-04-03 18:34:27,14855495,108
2021-04-03 18:34:54,14855495,461
2021-04-03 18:39:54,14855495,505
2021-04-03 18:44:54,14855495,50
2021-04-03 18:49:26,14855495,1024
2021-04-03 18:49:43,14855495,621
2021-04-03 18:49:49,14855495,209
2021-04-03 18:54:57,14855495,998
2021-04-03 18:59:49,14855495,175
2021-04-03 19:00:29,14855495,641
2021-04-03 19:05:29,14855495,673
2021-04-03 19:10:29,14855495,1024
2021-04-03 19:11:50,14855495,1024
2021-04-03 19:12:01,14855495,77
2021-04-03 19:12:14,14855495,662
2021-04-03 19:12:55,14855495,681
2021-04-03 19:13:20,14855495,75
2021-04-03 19:15:03,14855495,652
2021-04-03 19:15:28,14855495,110
2021-04-03 19:17:07,14855495,1024
